d	count	pr	expect
1	2110	2.1363e-01	1.0125e-04
2	2015	2.0401e-01	1.0125e-04
3	1446	1.4640e-01	1.0125e-04
4	847	8.5755e-02	1.0125e-04
5	628	6.3582e-02	1.0125e-04
6	468	4.7383e-02	1.0125e-04
7	371	3.7562e-02	1.0125e-04
8	311	3.1487e-02	1.0125e-04
9	244	2.4704e-02	1.0125e-04
10	227	2.2983e-02	1.0125e-04
11	134	1.3567e-02	1.0125e-04
12	129	1.3061e-02	1.0125e-04
13	120	1.2149e-02	1.0125e-04
14	87	8.8083e-03	1.0125e-04
15	88	8.9096e-03	1.0125e-04
16	71	7.1884e-03	1.0125e-04
17	58	5.8722e-03	1.0125e-04
18	73	7.3909e-03	1.0125e-04
19	54	5.4672e-03	1.0125e-04
20	47	4.7585e-03	1.0125e-04
21	27	2.7336e-03	1.0125e-04
22	37	3.7461e-03	1.0125e-04
23	52	5.2648e-03	1.0125e-04
24	23	2.3286e-03	1.0125e-04
25	23	2.3286e-03	1.0125e-04
26	14	1.4174e-03	1.0125e-04
27	15	1.5187e-03	1.0125e-04
28	14	1.4174e-03	1.0125e-04
29	12	1.2149e-03	1.0125e-04
30	7	7.0872e-04	1.0125e-04
31	31	3.1386e-03	1.0125e-04
32	11	1.1137e-03	1.0125e-04
33	7	7.0872e-04	1.0125e-04
34	10	1.0125e-03	1.0125e-04
35	6	6.0747e-04	1.0125e-04
36	6	6.0747e-04	1.0125e-04
37	7	7.0872e-04	1.0125e-04
38	9	9.1121e-04	1.0125e-04
39	3	3.0374e-04	1.0125e-04
40	4	4.0498e-04	1.0125e-04
41	3	3.0374e-04	1.0125e-04
42	5	5.0623e-04	1.0125e-04
43	4	4.0498e-04	1.0125e-04
44	3	3.0374e-04	1.0125e-04
45	2	2.0249e-04	1.0125e-04
46	1	1.0125e-04	1.0125e-04
49	2	2.0249e-04	1.0125e-04
50	2	2.0249e-04	1.0125e-04
51	2	2.0249e-04	1.0125e-04
53	2	2.0249e-04	1.0125e-04
54	1	1.0125e-04	1.0125e-04
56	1	1.0125e-04	1.0125e-04
59	1	1.0125e-04	1.0125e-04
60	1	1.0125e-04	1.0125e-04
65	1	1.0125e-04	1.0125e-04
exponential
a=-2.652435	b=-0.122380	corr=-0.967996
Power
a=0.860562	b=-2.285724	corr=-0.957228
