Comp	Size
0	8638
1	2
2	2
3	2
4	7
5	2
6	2
7	2
8	2
9	2
10	2
11	4
12	3
13	2
14	2
15	5
16	7
17	2
18	4
19	2
20	2
21	4
22	2
23	3
24	11
25	2
26	3
27	2
28	2
29	5
30	4
31	6
32	7
33	2
34	2
35	3
36	2
37	3
38	8
39	2
40	2
41	2
42	2
43	2
44	7
45	2
46	2
47	6
48	5
49	4
50	2
51	2
52	5
53	4
54	4
55	5
56	2
57	2
58	2
59	2
60	2
61	3
62	2
63	2
64	2
65	2
66	8
67	5
68	5
69	2
70	2
71	5
72	3
73	2
74	4
75	2
76	2
77	8
78	2
79	4
80	5
81	2
82	2
83	2
84	2
85	2
86	2
87	3
88	2
89	3
90	7
91	2
92	2
93	2
94	8
95	2
96	4
97	8
98	2
99	2
100	6
101	2
102	2
103	3
104	2
105	2
106	7
107	2
108	3
109	2
110	2
111	3
112	5
113	6
114	2
115	3
116	3
117	2
118	3
119	3
120	2
121	4
122	2
123	4
124	3
125	2
126	2
127	5
128	2
129	3
130	2
131	4
132	2
133	3
134	2
135	2
136	2
137	5
138	3
139	4
140	2
141	9
142	4
143	5
144	7
145	2
146	2
147	5
148	4
149	2
150	7
151	2
152	2
153	2
154	3
155	2
156	4
157	2
158	3
159	2
160	6
161	2
162	2
163	3
164	2
165	2
166	2
167	2
168	2
169	2
170	2
171	4
172	2
173	3
174	3
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	3
183	2
184	3
185	2
186	5
187	2
188	7
189	2
190	4
191	2
192	4
193	3
194	2
195	2
196	21
197	2
198	2
199	2
200	2
201	2
202	2
203	2
204	2
205	2
206	2
207	3
208	2
209	2
210	2
211	2
212	5
213	7
214	2
215	4
216	2
217	3
218	2
219	4
220	3
221	2
222	4
223	4
224	2
225	2
226	2
227	2
228	2
229	2
230	3
231	2
232	3
233	2
234	3
235	4
236	3
237	2
238	3
239	2
240	5
241	5
242	2
243	2
244	2
245	2
246	2
247	4
248	2
249	4
250	4
251	2
252	4
253	2
254	2
255	2
256	2
257	2
258	2
259	3
260	2
261	3
262	2
263	3
264	2
265	8
266	4
267	2
268	2
269	3
270	2
271	3
272	7
273	6
274	2
275	3
276	2
277	4
278	2
279	2
280	5
281	2
282	3
283	2
284	3
285	3
286	4
287	2
288	2
289	6
290	2
291	2
292	6
293	2
294	2
295	4
296	3
297	2
298	2
299	4
300	5
301	2
302	2
303	3
304	9
305	2
306	2
307	5
308	2
309	4
310	2
311	4
312	2
313	4
314	2
315	2
316	2
317	4
318	4
319	2
320	2
321	2
322	1
323	2
324	3
325	2
326	2
327	2
328	3
329	2
330	1
331	2
332	3
333	2
334	2
335	2
336	2
337	2
338	2
339	3
340	2
341	2
342	2
343	3
344	3
345	2
346	2
347	2
348	2
349	2
350	2
351	2
352	2
353	2
354	3
355	4
356	2
357	2
358	2
359	3
360	3
361	3
362	2
363	2
364	2
365	2
366	2
367	2
368	2
369	2
370	2
371	2
372	3
373	2
374	4
375	2
376	2
377	2
378	3
379	2
380	2
381	4
382	2
383	2
384	2
385	2
386	2
387	2
388	2
389	2
390	3
391	2
392	2
393	2
394	2
395	2
396	3
397	2
398	2
399	3
400	2
401	3
402	2
403	2
404	2
405	4
406	2
407	3
408	2
409	2
410	2
411	2
412	2
413	2
414	4
415	4
416	2
417	3
418	2
419	2
420	2
421	2
422	3
423	2
424	2
425	2
426	2
427	2
428	3
Largest Component: 8638
Smallest Component: 1
