Rank	Vertex	CloCen
1	54	2.978979
2	40	2.980981
3	26	3.023023
4	17	3.056056
5	8	3.065065
6	31	3.066066
7	277	3.069069
8	252	3.074074
9	35	3.089089
10	294	3.101101
11	165	3.103103
12	30	3.106106
13	163	3.110110
14	58	3.111111
15	67	3.149149
16	13	3.151151
17	15	3.164164
18	32	3.171171
19	276	3.172172
20	220	3.174174
21	920	3.183183
22	231	3.195195
23	171	3.198198
24	24	3.199199
25	132	3.205205
26	386	3.211211
27	141	3.213213
28	62	3.214214
29	38	3.215215
30	1420	3.216000
31	201	3.226226
32	290	3.237237
33	36	3.238238
34	75	3.239239
35	200	3.261261
36	359	3.264264
37	55	3.267267
38	618	3.268268
39	1461	3.271000
40	407	3.281281
