g 200 199
d 199 -18.0236 -7.66248
d 198 8.57445 11.3847
d 197 -4.46946 17.4123
d 196 -12.1026 -7.63616
d 195 15.432 1.87333
d 194 2.17103 -5.92323
d 193 -3.48147 1.78585
d 192 13.8686 4.1823
d 191 17.5488 -4.0449
d 190 -8.28797 -17.1005
d 189 4.21659 10.639
d 188 -2.40383 -0.545177
d 187 -10.31 5.1892
d 186 8.52456 -6.63629
d 185 -5.56531 -14.1923
d 184 6.12812 -5.24011
d 183 5.0814 -6.18191
d 182 -10.5999 3.04321
d 181 -1.71185 2.07373
d 180 -14.1181 -12.7439
d 179 -4.62979 -12.3565
d 178 -1.80288 -14.3547
d 177 12.1946 15.4791
d 176 6.1876 -1.25214
d 175 0.501583 -2.27078
d 174 3.35115 -2.98725
d 173 -19.5887 -2.51334
d 172 -5.29642 2.12011
d 171 1.54197 2.65836
d 170 -5.18591 -12.1136
d 169 -3.85068 1.51167
d 168 6.23165 -2.53043
d 167 -15.4295 3.73886
d 166 -16.1293 2.33408
d 165 18.0659 -2.63652
d 164 0.80637 14.743
d 163 0.098278 -3.2304
d 162 5.69578 10.7648
d 161 6.31726 -13.3258
d 160 -8.92361 -17.5122
d 159 -2.23335 1.82041
d 158 -0.301406 1.47213
d 157 9.17678 -10.9941
d 156 -12.7361 7.82844
d 155 1.7099 0.444944
d 154 1.26783 1.30894
d 153 6.96846 -13.1173
d 152 9.31525 -2.25507
d 151 8.97852 3.69585
d 150 2.85016 2.13093
d 149 -0.0624049 4.58278
d 148 -4.36141 -10.7994
d 147 -3.97144 -10.7368
d 146 8.50867 -15.7433
d 145 -4.61095 1.3976
d 144 6.01202 -16.9944
d 143 -15.3703 11.7326
d 142 5.62832 2.56412
d 141 1.75211 3.49084
d 140 -7.17332 4.75287
d 139 -0.464344 3.59867
d 138 -3.53462 -10.1812
d 137 -2.45669 -18.4102
d 136 -2.44695 -2.16922
d 135 8.4039 -2.85103
d 134 11.4924 -12.5771
d 133 -16.9364 -1.80101
d 132 -5.80827 2.27374
d 131 -12.9876 2.49946
d 130 6.887 18.4488
d 129 3.33742 4.19354
d 128 0.249301 -12.2895
d 127 -9.82508 -6.62832
d 126 1.03019 -7.57558
d 125 1.63197 -2.60365
d 124 -13.3208 -13.9853
d 123 4.29406 1.28505
d 122 -15.5554 4.11732
d 121 -5.08337 1.48833
d 120 7.43752 -3.28053
d 119 -0.586094 14.5984
d 118 6.86351 -0.0141145
d 117 6.61391 -8.83125
d 116 4.69043 5.4568
d 115 8.585 -13.8326
d 114 10.9545 10.3073
d 113 16.4059 -2.1323
d 112 -11.1645 9.42646
d 111 7.71581 7.50644
d 110 -1.26872 0.342563
d 109 9.09669 3.34045
d 108 13.0399 1.47389
d 107 -0.496561 19.9859
d 106 -18.5279 2.60341
d 105 8.65539 11.0432
d 104 2.62175 6.8104
d 103 3.27979 -2.20611
d 102 17.3866 -2.60072
d 101 14.4618 -7.75749
d 100 -9.14798 -10.6501
d 99 -1.23767 -5.0712
d 98 2.05319 -12.0404
d 97 -0.506278 2.04269
d 96 -15.9231 -9.93038
d 95 7.90191 12.0468
d 94 -13.918 2.55105
d 93 -2.63311 8.69288
d 92 2.54218 1.22418
d 91 -1.45574 7.10204
d 90 -9.31903 -4.00654
d 89 0.701146 -10.1129
d 88 12.6706 -10.1302
d 87 -1.88569 11.3618
d 86 5.81203 11.7787
d 85 -4.1891 -11.7352
d 84 -3.34227 -7.47182
d 83 2.3186 11.3358
d 82 0.916972 0.61041
d 81 4.14253 12.6557
d 80 14.0095 3.5828
d 79 1.01957 0.145833
d 78 -1.18423 -0.839497
d 77 -3.12578 -1.25554
d 76 11.2213 6.43399
d 75 -17.5724 6.76661
d 74 4.31528 4.57171
d 73 -1.85063 -0.797475
d 72 -1.57614 -0.904914
d 71 3.711 2.93542
d 70 -5.20615 14.0361
d 69 13.8373 14.3964
d 68 6.73032 -1.33189
d 67 -0.28493 11.1226
d 66 -1.30629 -5.71431
d 65 1.5781 2.56362
d 64 7.44207 5.4476
d 63 -2.13447 3.5999
d 62 1.25402 -4.32587
d 61 -14.0285 13.0744
